Category,mean_view,mean_favorite,mean_score,%acc_ans,wo_acc,resp_time(min)
Variable,536.37 ,0.29 ,1.42 ,0.413105413,0.586894587,612.3083333
Component,488.11 ,0.35 ,1.70 ,0.525,0.475,704.2166667
Concept,427.59 ,0.44 ,1.75 ,0.382352941,0.617647059,274.8833333
Security Hardening,373.71 ,0.42 ,1.29 ,0.45212766,0.54787234,744.2333333
Artifact,365.10 ,0.45 ,1.72 ,0.448275862,0.551724138,1057.716667
Cache,357.66 ,0.37 ,1.41 ,0.510204082,0.489795918,1391.758333
Docker,337.25 ,0.29 ,1.14 ,0.431095406,0.568904594,1387.8
Publish Package,321.04 ,0.43 ,1.32 ,0.428571429,0.571428571,6739.629167
Runner,296.91 ,0.42 ,1.36 ,0.328571429,0.671428571,603.575
Trigger,290.18 ,0.29 ,1.12 ,0.494047619,0.505952381,288.5
Deploy,247.58 ,0.16 ,0.68 ,0.392045455,0.607954545,1253.358333
Matrix,243.26 ,0.29 ,1.15 ,0.424242424,0.575757576,627.8833333
Test&Build,241.06 ,0.15 ,0.93 ,0.427046263,0.572953737,741.975
Manage Issue and PR,230.85 ,0.24 ,1.05 ,0.49137931,0.50862069,745.4666667
Monitor,203.95 ,0.19 ,0.91 ,0.409090909,0.590909091,980.2833333
Others,199.23 ,0.20 ,0.79 ,0.401197605,0.598802395,1278.183333
Repo,183.47 ,0.24 ,0.61 ,0.5,0.5,1106.791667
Organization,95.54 ,0.38 ,0.77 ,0.375,0.625,1157.091667
